color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"255,0,0,1",POINT (37.6803459 48.3534231),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""37""]","""2025-04-15T20:50:07""",37,2025-04-15T20:50:07,,10016600006099000000
"255,0,0,1",POINT (37.6803418 48.3538604),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""27\u0430""]","""2025-04-15T20:50:13""",27а,2025-04-15T20:50:13,,10016600006099000000
"255,0,0,1",POINT (37.6803077 48.3542442),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""25\u0430""]","""2025-04-15T20:50:22""",25а,2025-04-15T20:50:22,,10016600006099000000
"255,0,0,1",POINT (37.6802221 48.3545563),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""23\u0430""]","""2025-04-15T20:50:27""",23а,2025-04-15T20:50:27,,10016600006099000000
"255,0,0,1",POINT (37.6806056 48.3523479),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""41""]","""2025-04-15T20:50:43""",41,2025-04-15T20:50:43,,10016600006099000000
"255,0,0,1",POINT (37.6805056 48.3527384),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""39""]","""2025-04-15T20:50:52""",39,2025-04-15T20:50:52,,10016600006099000000
"255,0,0,1",POINT (37.6797379 48.3519821),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""42""]","""2025-04-15T20:50:57""",42,2025-04-15T20:50:57,,10016600006099000000
"255,0,0,1",POINT (37.6798485 48.3515536),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""45""]","""2025-04-15T20:51:09""",45,2025-04-15T20:51:09,,10016600006099000000
"255,0,0,1",POINT (37.6799342 48.351127),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""47""]","""2025-04-15T20:51:14""",47,2025-04-15T20:51:14,,10016600006099000000
"255,0,0,1",POINT (37.6824089 48.3518938),"[""red""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""1.\u0446\u0435\u043b\u044c""]","[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0430\u043b\u0435\u043a\u0441\u0430\u043d\u0434\u0440\u043e\u043f\u043e\u043b\u044c"", ""38""]","""2025-04-15T20:51:35""",38,2025-04-15T20:51:35,,10016600006099000000
