color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:name,name,sidc
"123,104,238,1",POINT (37.5877508 48.3360493),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u041a\u0443\u043b\u0430\u0447\u043e\u043a40""]",Кулачок40,10016600006099000000
"123,104,238,1",POINT (37.5864879 48.3363575),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u041a\u0443\u043b\u0430\u0447\u043e\u043a41""]",Кулачок41,10016600006099000000
"123,104,238,1",POINT (37.5852116 48.3366566),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u041a\u0443\u043b\u0430\u0447\u043e\u043a42""]",Кулачок42,10016600006099000000
"123,104,238,1",POINT (37.5839489 48.3369558),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u041a\u0443\u043b\u0430\u0447\u043e\u043a43""]",Кулачок43,10016600006099000000
"123,104,238,1",POINT (37.6284376 48.3102092),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a1""]",Бардак1,10016600006099000000
"123,104,238,1",POINT (37.6285213 48.3111095),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a2""]",Бардак2,10016600006099000000
"123,104,238,1",POINT (37.6286053 48.3120009),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a3""]",Бардак3,10016600006099000000
"123,104,238,1",POINT (37.628689 48.3129012),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a4""]",Бардак4,10016600006099000000
"123,104,238,1",POINT (37.6287727 48.3138015),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a5""]",Бардак5,10016600006099000000
"123,104,238,1",POINT (37.6288567 48.3146929),"[""purple"", ""#ff7b68ee""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.8b.r8787""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""\u0411\u0430\u0440\u0434\u0430\u043a6""]",Бардак6,10016600006099000000
