color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:date,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.4602956 48.3759358),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u044111""]",,альянс11,,,10016600006099000000
"128,0,128,1",POINT (37.4616285 48.3760525),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u043b\u044c\u044f\u043d\u0441-2025-02-04T13.51.06.955788.csv"", ""\u0430\u043b\u044c\u044f\u043d\u044112""]",,альянс12,,,10016600006099000000
"128,0,128,1",POINT (37.5355759 48.4014977),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04411""]",,автобус1,,,10016600006099000000
"128,0,128,1",POINT (37.536256 48.4022708),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04412""]",,автобус2,,,10016600006099000000
"128,0,128,1",POINT (37.5369359 48.4030529),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04413""]",,автобус3,,,10016600006099000000
"128,0,128,1",POINT (37.537616 48.403826),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04414""]",,автобус4,,,10016600006099000000
"128,0,128,1",POINT (37.5382962 48.4045991),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04415""]",,автобус5,,,10016600006099000000
"128,0,128,1",POINT (37.5389896 48.4053813),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04416""]",,автобус6,,,10016600006099000000
"128,0,128,1",POINT (37.5396699 48.4061544),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04417""]",,автобус7,,,10016600006099000000
"128,0,128,1",POINT (37.5403501 48.4069274),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",,[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0430\u0432\u0442\u043e\u0431\u0443\u0441-2025-02-03T16.38.58.223242.csv"", ""\u0430\u0432\u0442\u043e\u0431\u0443\u04418""]",,автобус8,,,10016600006099000000
