color,coordinates,milgeo:meta:color,milgeo:meta:creator,milgeo:meta:creator_orig,milgeo:meta:creator_url,milgeo:meta:desc,milgeo:meta:icon,milgeo:meta:name,milgeo:meta:observation_datetime,name,observation_datetime,outline-color,sidc
"128,0,128,1",POINT (37.3360593 48.3532415),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u04309""]",,вакса9,,,10016600006099000000
"128,0,128,1",POINT (37.3374074 48.353279),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u043010""]",,вакса10,,,10016600006099000000
"128,0,128,1",POINT (37.3387552 48.3533255),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0432\u0430\u043a\u0441\u0430 (3)-2025-02-05T14.16.54.950536.csv"", ""\u0432\u0430\u043a\u0441\u043011""]",,вакса11,,,10016600006099000000
"128,0,128,1",POINT (37.4922312 48.3833647),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04421""]",,букет1,,,10016600006099000000
"128,0,128,1",POINT (37.4935495 48.3835259),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04422""]",,букет2,,,10016600006099000000
"128,0,128,1",POINT (37.4943381 48.3842557),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04423""]",,букет3,,,10016600006099000000
"128,0,128,1",POINT (37.4949162 48.3847939),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04424""]",,букет4,,,10016600006099000000
"128,0,128,1",POINT (37.4952417 48.3856615),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04425""]",,букет5,,,10016600006099000000
"128,0,128,1",POINT (37.4954425 48.3861767),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04426""]",,букет6,,,10016600006099000000
"128,0,128,1",POINT (37.4954295 48.3870759),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04427""]",,букет7,,,10016600006099000000
"128,0,128,1",POINT (37.4954239 48.3877233),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04428""]",,букет8,,,10016600006099000000
"128,0,128,1",POINT (37.4952222 48.388611),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u04429""]",,букет9,,,10016600006099000000
"128,0,128,1",POINT (37.495007 48.3894986),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044210""]",,букет10,,,10016600006099000000
"128,0,128,1",POINT (37.4948053 48.3903863),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044211""]",,букет11,,,10016600006099000000
"128,0,128,1",POINT (37.4946035 48.391274),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044212""]",,букет12,,,10016600006099000000
"128,0,128,1",POINT (37.494388 48.3921705),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044213""]",,букет13,,,10016600006099000000
"128,0,128,1",POINT (37.4941863 48.3930582),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044214""]",,букет14,,,10016600006099000000
"128,0,128,1",POINT (37.4939845 48.3939459),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044215""]",,букет15,,,10016600006099000000
"128,0,128,1",POINT (37.4937693 48.3948334),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u043a\u0435\u0442-2025-02-04T14.56.03.1225.csv"", ""\u0431\u0443\u043a\u0435\u044216""]",,букет16,,,10016600006099000000
"128,0,128,1",POINT (37.3421232 48.4029459),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04351""]",,будущее1,,,10016600006099000000
"128,0,128,1",POINT (37.3434565 48.403064),"[""purple""]","[""AlpineQuest 2.3.9.r9012"", ""AlpineQuest 2.3.8b.r8787""]","[""AlpineQuest 2.3.2""]","[""https://www.alpinequest.net"", ""https://www.alpinequest.net""]",[],,"[""2.2. \u0426\u0435\u043b\u0438 \u0440\u0430\u0431\u043e\u0447\u0438\u0435 \u041b\u0415\u0421\u041e\u041f\u041e\u041b\u041e\u0421\u042b"", ""Alp-P-export_\u0431\u0443\u0434\u0443\u0449\u0435\u0435-2025-02-05T14.50.49.282637.csv"", ""\u0431\u0443\u0434\u0443\u0449\u0435\u04352""]",,будущее2,,,10016600006099000000
